timestamp,Open,High,Low,Close,Volume
2024-07-01 00:00:00+00:00,62673.60547,63700.45313,62510.22656,63351.42969,3411406848
2024-07-01 04:00:00+00:00,63354.83984,63378.5,63182.46875,63222.17188,596051968
2024-07-01 08:00:00+00:00,63221.78125,63234.88672,62542.01172,62579.61719,1171578880
2024-07-01 12:00:00+00:00,62605.10547,62986.11328,62495.51172,62954.14063,2235981824
2024-07-01 16:00:00+00:00,63032.69531,63777.22656,62898.21094,63068.75,3240763392
2024-07-01 20:00:00+00:00,63210.92969,63332.01563,62768.28516,62857.39844,0
2024-07-02 00:00:00+00:00,62844.41016,63185.38672,62751.875,63086.20703,0
2024-07-02 04:00:00+00:00,63078.71484,63151.44141,62510.61719,62548.40234,384098304
2024-07-02 08:00:00+00:00,62548.27734,62746.19141,62375.78125,62715.29297,366882816
2024-07-02 12:00:00+00:00,62729.69922,63015.03125,61825.62891,61944.05469,964747264
2024-07-02 16:00:00+00:00,61864.97266,62282.83594,61752.96094,61887.84766,0
2024-07-02 20:00:00+00:00,61816.31641,62076.59375,61795.6875,62028.87109,76941312
2024-07-03 00:00:00+00:00,62034.33203,62187.70313,60706.86719,60876.35156,2389217280
2024-07-03 04:00:00+00:00,60887.04688,61079.38281,60736.66797,60800.53906,464195584
2024-07-03 08:00:00+00:00,60795.5625,60889.93359,59723.20703,60289.82031,3413688320
2024-07-03 12:00:00+00:00,60287.16406,60532.96484,59670.07422,60104.15625,1973544960
2024-07-03 16:00:00+00:00,60100.25,60555.49609,59722.01172,59722.01172,1369956352
2024-07-03 20:00:00+00:00,59623.67188,60287.89453,59419.38672,60226.25,1718136832
2024-07-04 00:00:00+00:00,60147.13672,60399.67578,57932.60547,59092.90625,4095684608
2024-07-04 04:00:00+00:00,59067.04297,59067.78516,58097.54688,58163.98828,1935245312
2024-07-04 08:00:00+00:00,58222.79297,58416.57813,57043.95703,57716.25391,3193069568
2024-07-04 12:00:00+00:00,57720.40234,58165.55469,56777.80469,58100.37109,2973614080
2024-07-04 16:00:00+00:00,58084.17188,58605.79688,57758.82813,58271.23828,678948864
2024-07-04 20:00:00+00:00,58264.90234,58727.57813,56964.8125,57087.01953,1789427712
2024-07-05 00:00:00+00:00,57022.80859,57402.45703,55193.66016,55213.26563,6625169408
2024-07-05 04:00:00+00:00,55209.61719,55315.03125,53717.375,54373.44141,7069265920
2024-07-05 08:00:00+00:00,54391.95703,55614.73047,53906.56641,55450.66406,2493640704
2024-07-05 12:00:00+00:00,55474.58594,56583.42188,54839.41797,56583.42188,2398400512
2024-07-05 16:00:00+00:00,56651.08984,56856.60938,55942.58594,56523.53516,2842021888
2024-07-05 20:00:00+00:00,56487.83203,56838.92969,56339.07031,56686.45703,168611840
2024-07-06 00:00:00+00:00,56659.07422,56979.01953,56218.74609,56400.86719,0
2024-07-06 04:00:00+00:00,56407.0625,56661.61719,56038.96094,56589.13672,0
2024-07-06 08:00:00+00:00,56590.4375,56845.01953,56463.41406,56747.22656,0
2024-07-06 12:00:00+00:00,56734.42969,57391.26953,56540.32813,57321.34766,0
2024-07-06 16:00:00+00:00,57314.10156,58009.84375,57217.34375,57872.51172,0
2024-07-06 20:00:00+00:00,57871.98438,58461.88672,57846.90234,58269.25781,236269568
2024-07-07 00:00:00+00:00,58239.42969,58371.12109,57865.63281,57951.98047,369371136
2024-07-07 04:00:00+00:00,57947.43359,57965.54688,57101.78125,57360.07031,547921920
2024-07-07 08:00:00+00:00,57366.69531,57907.99609,57363.3125,57452.21484,263546880
2024-07-07 12:00:00+00:00,57441.85938,57584.30469,56643.87891,56847.10547,340377600
2024-07-07 16:00:00+00:00,56831.45703,57344.78516,56778.05469,57139.99609,0
2024-07-07 20:00:00+00:00,57139.77344,57286.76172,55793.32422,55938.97656,1303388160
2024-07-08 00:00:00+00:00,55849.57422,56012.96875,54397.46875,55173.72656,4593020928
2024-07-08 04:00:00+00:00,55169.28125,55896.65234,55006.11328,55861.88281,1246646272
2024-07-08 08:00:00+00:00,55859.4375,57866.69531,55775.84375,57087.47656,6570932224
2024-07-08 12:00:00+00:00,57140.11719,57402.55078,55240.58203,55790.64063,5178525696
2024-07-08 16:00:00+00:00,55760.28125,56528.20703,55452.32813,56482.82422,2565926912
2024-07-08 20:00:00+00:00,56497.82422,56929.48438,56213.87109,56681.23828,348434432
2024-07-09 00:00:00+00:00,56704.59766,57296.75391,56316.875,57151.21875,0
2024-07-09 04:00:00+00:00,57159.79688,57698.69141,57039.28516,57050.08984,262742016
2024-07-09 08:00:00+00:00,57102.33984,57854.52344,57029.87891,57429.03906,0
2024-07-09 12:00:00+00:00,57442.73828,58059.88281,57014.14844,57483.55078,0
2024-07-09 16:00:00+00:00,57483.67969,58178.42188,57413.90234,57797.86719,508831744
2024-07-09 20:00:00+00:00,57855.62891,58179.28906,57741.875,57987.71484,108615680
2024-07-10 00:00:00+00:00,58033.88281,58153.20703,57423.11328,58140.625,0
2024-07-10 04:00:00+00:00,58173.05859,59359.43359,58173.05859,58981.94141,2024947712
2024-07-10 08:00:00+00:00,58985.63281,59027.37891,58357.82031,58484.85547,327135232
2024-07-10 12:00:00+00:00,58485.89453,58550.83594,57543.03125,57739.58203,1111060480
2024-07-10 16:00:00+00:00,57715.05859,57955.97656,57383.26953,57451.97266,27303936
